"id","latitude","longitude","Label"
"MJE","7.8333","168.1667","XXX"
"PAG","7.83","123.4750","Pagadian"
"SCI","7.8013","-72.2028","San Cristobal"
"BYK","7.7525","-5.0678","BOUAKE"
"WUU","7.7257","27.9749","WAU"
"BTC","7.7033","81.6783","Batticaloa"
"MLP","7.6186","124.0544","MALABANG"
"CXA","7.6167","-66.1667","CAICARA"
"STD","7.5683","-72.0283","Santo Domingo"
"JQE","7.5178","-78.1572","Jaque                                   "
"TST","7.5086","99.6158","Trang"
"TKK","7.4619","151.8430","Chuuk                                   "
"WJA","7.4507","168.5501","Woja"
"ROR","7.3673","134.5443","Koror"
"NYI","7.3628","-2.3294","Sunyani"
"IBA","7.3608","3.9781","Ibadan"
"NGE","7.3592","13.5600","Ngaoundere                              "
"OYA","7.3367","81.6283","Goya                                    "
"AKR","7.25","5.3042","AKURE"
"TMO","7.25","-61.4333","TUMEREMO"
"GDO","7.2333","-70.8000","GUASDUALITO"
"KDZ","7.2","80.4333","Kandy Polgolla Reservoir SPB"
"SGZ","7.1857","100.6088","SONGKHLA"
"CMB","7.1802","79.8853","Bandaranaike Intl"
"CBO","7.1608","124.2125","Cotabato"
"BGA","7.1269","-73.1850","Bucaramanga"
"DVO","7.1255","125.6458","Davao                                   "
"AIC","7.1","171.2333","XXX"
"AUC","7.0689","-70.7369","Arauca"
"EOZ","7.0597","-69.4967","  Elorza"
"EJA","7.0244","-73.8069","Barrancabermeja"
"ALF","69.9761","23.3717","Alta"
"SOJ","69.7901","20.9549","Sorkjosen                               "
"PWE","69.7833","170.5950","Pevek"
"AMV","69.7633","61.5633","AMDERMA"
"PIZ","69.7329","-163.0053","Point Lay"
"KKN","69.7251","29.8877","Kirkenes                                "
"TOS","69.6814","18.9178","Tromso                                  "
"VIK","69.66","-146.8800","Kavik"
"YYH","69.5467","-93.5767","Taloyoak                                "
"YUB","69.4333","-133.0264","Tuktoyaktuk"
"YGT","69.3647","-81.8161","Igloolik                                "
"YPC","69.3611","-124.0753","Paulatuk"
"NSK","69.31","87.3333","Norilsk                                 "
"ANX","69.2925","16.1442","Andenes                                 "
"JGO","69.2511","-53.5381","  Qeqertarsuaq"
"JAV","69.2432","-51.0571","Ilulissat                               "
"YCB","69.1081","-105.1383","Cambridge Bay"
"XIQ","69.0811","-51.1153","Ilimanaq"
"BDU","69.0558","18.5403","Bardufoss                               "
"LUR","68.8752","-166.1100","Cape Lisburne"
"QJE","68.8567","-53.1250","Kitsissuarsuit"
"JCH","68.8172","-51.1747","  Qasigiannguit"
"MMK","68.7817","32.7467","Murmansk"
"YUX","68.7761","-81.2436","Hall Beach                              "
"QCU","68.7436","-52.3286","Akunnaaq"
"CYX","68.7433","161.3367","Chersky"
"JEG","68.7218","-52.7847","Aasiaat"
"YHK","68.6356","-95.8503","Gjoa Haven                              "
"QJI","68.6322","-51.8336","Ikamiut"
"IVL","68.6108","27.4139","Ivalo"
"SKN","68.5808","15.0261","Stokmarknes                             "
"YBB","68.5344","-89.8081","Pelly Bay                               "
"EVE","68.4889","16.6783","Harstad-Narvik                          "
"YUJ","68.4756","-113.2214","LADY FRANKLIN POINT"
"YMK","68.47","73.6000","Mys Kamennyy"
"NVK","68.4369","17.3867","Narvik"
"ENF","68.3644","23.4275","ENONTEKIO"
"PHO","68.3488","-166.7994","Point Hope"
"QPW","68.3067","-53.4717","Kangaatsiaq"
"YEV","68.3042","-133.4828","Inuvik                                  "
"QMK","68.2483","-52.8800","Niaqornaarsuk"
"SVJ","68.2433","14.6692","Svolvaer"
"LAK","68.2233","-135.0058","  Aklavik"
"LKN","68.1525","13.6094","Leknes                                  "
"QRY","68.15","-53.4500","Ikerasaarsuk                            "
"QFI","68.1481","-53.1722","Iginniarfik"
"AKP","68.1336","-151.7433","Anaktuvuk Pass                          "
"ARC","68.1147","-145.5794","Arctic Village"
"QGQ","67.9406","-53.6228","Attu"
"KRN","67.8214","20.3356","Kiruna"
"YCO","67.8167","-115.1439","Kugluktuk Coppermine                    "
"KVL","67.7362","-164.5635","Kivalina"
"KTT","67.6986","24.8481","Kittila"
"VRY","67.6894","12.6819","  V�r�y"
"NNM","67.64","53.1250","Naryan-Mar"
"KVK","67.5756","33.5828","Kirovsk/Apatity                         "
"YOC","67.5706","-139.8392","  Old Crow"
"WTK","67.5611","-162.9804","Noatak"
"YVM","67.5458","-64.0314","Qikiqtarjuaq"
"RET","67.5278","12.1033","Rost"
"VKT","67.4883","63.9917","Vorkuta"
"IAA","67.4417","86.6233","Igarka                                  "
"ZFM","67.4075","-134.8606","Fort McPherson"
"SOT","67.3967","26.6181","SODANKYLA"
"BOO","67.2692","14.3653","Bodo"
"CXF","67.2522","-150.2039","Coldfoot                                "
"PJA","67.2458","23.0689","Pajala"
"GEV","67.1331","20.8122","Gallivare"
"ABL","67.1063","-157.8575","Ambler"
"VEE","67.0087","-146.3664","Venetie"
"JHS","66.9513","-53.7293","Sisimiut"
"BTT","66.9139","-151.5290","Bettles                                 "
"OBU","66.9123","-156.8973","Kobuk"
"SHG","66.8881","-157.1624","Shungnak"
"OTZ","66.8847","-162.5985","Kotzebue"
"ORV","66.8175","-161.0223","Noorvik"
"CFF","66.7031","-119.7072","GLENDON/GREAT BEAR LAKE"
"WLK","66.6001","-159.9858","Selawik"
"SLY","66.59","66.6100","Salekhard                               "
"FYU","66.5715","-145.2504","Fort Yukon                              "
"RVN","66.5617","25.8308","Rovaniemi"
"GRY","66.5547","-18.0175","GRIMSEY"
"AET","66.5518","-152.6222","Allakaket"
"YUT","66.5214","-86.2247","Repulse Bay                             "
"MQJ","66.4558","143.2531","Khonuu                                  "
"PYJ","66.4","112.0333","Polyarny                                "
"WBQ","66.3622","-147.4065","Beaver                                  "
"MQN","66.25","14.3014","Mo I Rana                               "
"SHH","66.2496","-166.0893","Shishmaref                              "
"YGH","66.2408","-128.6508","Fort Good Hope                          "
"THO","66.2183","-15.3347","THORSHOFN"
"NUX","66.07","76.5200","Novy Urengoy"
"DRG","66.0696","-162.7664","Deering                                 "
"IFJ","66.0581","-23.1353","Isafjordur                              "
"HUS","66.0391","-154.2647","Hughes                                  "
"SVS","66.0171","-149.0544","Stevens Village"
"KAO","65.9903","29.2319","Kuusamo"
"BKC","65.9816","-161.1491","Buckland                                "
"SSJ","65.9597","12.4722","Sandnessjoen                            "
"HZK","65.9525","-17.4258","HUSAVIK"
"SGG","65.9039","-36.3744","Sermiligaaq                             "
"TQI","65.88","-37.7600","Tiniteqilaaq Heliport"
"QQQ","65.8753","20.1500","VIDSEL"
"KUZ","65.85","-37.0700","Kuummiut                                "
"IRC","65.8279","-144.0762","Circle                                  "
"HMV","65.8061","15.0828","Hemavan/Tarnaby"
"THX","65.7997","87.9298","Turukhansk"
"MJF","65.7836","13.2153","Mosjoen                                 "
"KEM","65.7792","24.5847","Kemi/Tornio"
"TRH","65.7667","87.8833","TURUKHANSK"
"YWO","65.7592","-111.2500","LUPIN"
"DIO","65.7586","-168.9531","  Diomede"
"SAK","65.7317","-19.5728","SAUDARKROKUR/ALEXANDER"
"VPN","65.7206","-14.8506","  Vopnafj�r�ur"
"KKQ","65.7195","82.4699","Krasnoselkup"
"HSL","65.6979","-156.3514","Huslia                                  "
"AEY","65.6586","-18.0722","Akureyri"
"WAA","65.6226","-168.0949","Wales"
"AGM","65.6122","-37.6183","Tasiilaq"
"AJR","65.5903","19.2819","Arvidsjaur"
"CEM","65.5739","-144.7809","Central                                 "
"KUS","65.5736","-37.1236","Kulusuk Island                          "
"TNC","65.5632","-167.9217","Tin City"
"LLA","65.5433","22.1236","Lulea"
"IOQ","65.53","-38.9800","Isortoq"
"RMP","65.5079","-150.1408","Rampart"
"NYM","65.4817","72.7000","Nadym                                   "
"BNN","65.4611","12.2175","Bronnoysund                             "
"UTS","65.4411","52.1500","Ust-Tsilma"
"UTZ","65.4333","52.2000","UST-TSILMA"
"JSU","65.4125","-52.9394","Maniitsoq                               "
"KTS","65.3333","-166.4833","Teller Mission"
"EGS","65.2833","-14.4014","Egilsstadir                             "
"YVQ","65.2816","-126.7983","Norman Wells"
"KPC","65.2537","-166.8585","  Port Clarence"
"TLA","65.2404","-166.3393","Teller"
"YWJ","65.2106","-123.4358","Deline"
"TAL","65.1743","-152.1093","Tanana"
"MNT","65.1437","-149.3700","Minto"
"PEX","65.1217","57.1300","PECHORA"
"CSH","65.05","35.6667","Solovetsky"
"MLY","64.9976","-150.6441","Manley Hot Springs"
"SQO","64.9608","17.6967","STORUMAN"
"KKA","64.9395","-161.1543","Koyuk                                   "
"OUL","64.9292","25.3556","Oulu"
"TQL","64.9225","77.7850","Tarko-Sale"
"LDG","64.9","45.7667","Leshukonskoye"
"KYU","64.8758","-157.7304","Koyukuk                                 "
"RVK","64.85","11.2330","Rorvik                                  "
"FBK","64.8365","-147.6168","FAIRBANKS/FORT WAINWRIGHT AAF"
"FAI","64.8137","-147.8597","Fairbanks International Apt             "
"EAA","64.7781","-141.1496","Eagle                                   "
"GAL","64.7362","-156.9373","Galena"
"NUL","64.7293","-158.0742","Nulato"
"RBY","64.7272","-155.4699","Ruby                                    "
"YOA","64.6989","-110.6147","EKATI"
"WMO","64.6892","-163.4127","White Mountain"
"EIL","64.6657","-147.1015","EIELSON AFB/FAIRBANKS"
"SFT","64.6247","21.0769","Skelleftea"
"ARH","64.6","40.7183","Arkhangelsk"
"VHM","64.5981","16.8397","Vilhelmina"
"GLV","64.5505","-163.0072","Golovin                                 "
"LYC","64.5475","18.7178","Lycksele                                "
"ENN","64.5473","-149.0740","NENANA"
"OME","64.5122","-165.4452","Nome"
"DVK","64.5113","-110.2895","DIAVIK DIAMOND MINE"
"OSY","64.4722","11.5786","Namsos                                  "
"PVS","64.3783","-173.2467","PROVIDENIYA BAY"
"SKK","64.3711","-161.2240","Shaktoolik                              "
"YBK","64.2989","-96.0778","Baker Lake"
"HFN","64.2956","-15.2272","HOFN/HORNAFFJOROUR"
"KAJ","64.2842","27.6875","Kajaani"
"YTE","64.23","-76.5267","Cape Dorset                             "
"YZS","64.1933","-83.3594","Coral Harbour"
"GOH","64.1909","-51.6781","Nuuk                                    "
"YFJ","64.19","-114.0800","Snare Lake                              "
"RKV","64.13","-21.9406","Reykjavik Apt"
"CKX","64.0713","-141.9523","Chicken"
"YLI","64.0547","24.7253","YLIVIESKA"
"YDA","64.0431","-139.1278","DAWSON CITY"
"BIG","63.9945","-145.7216","DELTA JUNCTION/FT GREELY ALLEN"
"NBB","63.9183","65.0100","BERYOZOVO"
"UNK","63.8884","-160.7990","Unalakleet"
"HKB","63.8676","-148.9688","Healy Lake"
"UME","63.7931","20.2800","Umea"
"GAM","63.7668","-171.7328","Gambell"
"YFB","63.7564","-68.5558","Iqaluit"
"KOK","63.7203","23.1392","Kokkola/Pietarsaari"
"OLA","63.6992","9.6039","Orland                                  "
"SVA","63.6864","-170.4926","Savoonga"
"EYK","63.68","66.6800","Beloyarsky"
"UCT","63.5667","53.8033","Ukhta                                   "
"EZV","63.56","65.0300","Berezovo (RU)"
"SMK","63.4901","-162.1104","St Michael                              "
"TRD","63.4575","10.9242","Trondheim Vaernes Airport"
"OER","63.4078","18.9925","Ornskoldsvik                            "
"YCS","63.3469","-90.7311","Chesterfield Inlet                      "
"TKJ","63.2955","-143.0061","Tok"
"YWY","63.2094","-123.4367","WRIGLEY"
"IRM","63.2","64.4333","IGRIM"
"OSD","63.1944","14.5003","Are/Ostersund"
"NOJ","63.1833","75.2700","Nojabrsk                                "
"YLE","63.15","-117.2670","Whati                                   "
"KAU","63.1242","23.0514","KAUHAVA"
"KSU","63.1119","7.8261","Kristiansund"
"KRF","63.0486","17.7694","Kramfors/Solleftea                      "
"VAA","63.0453","21.7642","Vaasa"
"KOT","63.0306","-163.5326","Kotlik"
"NIB","63.0186","-154.3584","Nikolai"
"KUO","63.0086","27.7944","Kuopio"
"TCT","62.9927","-156.0682","Takotna"
"ORT","62.9613","-141.9292","NORTHWAY"
"MCG","62.9528","-155.6058","McGrath"
"TLJ","62.9012","-155.9935","Tatalina"
"KGX","62.8946","-160.0649","Grayling                                "
"YLC","62.85","-69.8833","Kimmirut/Lake Harbour"
"YRT","62.8114","-92.1158","Rankin Inlet                            "
"EMK","62.7861","-164.4907","Emmonak"
"MOL","62.7447","7.2625","Molde"
"SJY","62.6936","22.8319","SEINAJOKI"
"SHX","62.6923","-159.5692","Shageluk"
"AUK","62.68","-164.6599","Alakanuk"
"JOE","62.6589","29.6244","Joensuu"
"ANV","62.6467","-160.1907","Anvik                                   "
"AES","62.5625","6.1197","Alesund                                 "
"MJZ","62.5333","114.0333","Mirny"
"SDL","62.5294","17.4428","Sundsvall/Harnosand"
"SXP","62.5206","-164.8478","Sheldon Point"
"KHJ","62.4633","22.3911","KAUHAJOKI"
"YZF","62.4628","-114.4403","Yellowknife"
"YIK","62.4173","-77.9253","Ivujivik                                "
"YSG","62.41","-110.6822","Lutselke Snowdrift                      "
"JYV","62.4008","25.6728","Jyvaskyla"
"TKA","62.3205","-150.0937","TALKEETNA"
"YXN","62.2392","-92.5972","Whale Cove"
"KGP","62.19","74.5350","Kogalym"
"HCR","62.1883","-159.7749","Holy Cross"
"HOV","62.18","6.0743","Orsta/Volda                             "
"YZG","62.1792","-75.6669","Salluit                                 "
"VRK","62.1711","27.8686","VARKAUS"
"KTQ","62.1661","30.0756","KITEE"
"RAT","62.1583","77.3300","RADUZHNY"
"GKN","62.1549","-145.4566","GULKANA"
"NYA","62.1406","65.3936","Nyagan                                  "
"MOU","62.0954","-163.6821","Mountain Village"
"YKS","62.0933","129.7717","Yakutsk                                 "
"CZN","62.0712","-142.0484","  Chisana"
"FAE","62.0636","-7.2772","Faroe Islands"
"KSM","62.0608","-163.3018","St Marys"
"EVG","62.0478","14.4242","Sveg"
"JFR","61.9922","-49.6625","Paamiut"
"SVL","61.9428","28.9450","Savonlinna"
"PQS","61.9346","-162.8996","Pilot Station                           "
"MLL","61.8833","-162.0667","Marshall"
"IDB","61.8697","12.6894","IDRE"
"CKD","61.8679","-158.1349","Crooked Creek"
"KEV","61.8564","24.7892","HALLI"
"SCM","61.8453","-165.5713","Scammon Bay"
"SDN","61.83","6.1058","Sandane                                 "
"SRV","61.7897","-156.5885","Stony River"
"RDV","61.7881","-157.3503","Red Devil"
"CZF","61.7809","-166.0395","CAPE ROMANZOF LRRS AIRPORT"
"RSH","61.7749","-161.3194","Russian Mission"
"HUV","61.7683","17.0806","HUDIKSVAL"
"YFS","61.7602","-121.2365","Fort Simpson"
"SLQ","61.7005","-157.1659","Sleetmute"
"MIK","61.6864","27.2000","MIKKELI"
"SCW","61.6467","50.8450","Syktyvkar"
"TGP","61.59","89.9733","Bor"
"YWB","61.5886","-71.9294","Kangiqsujuaq                            "
"FRO","61.5836","5.0247","Floro                                   "
"ANI","61.5816","-159.5430","Aniak"
"CHU","61.5791","-159.2156","Chuathbaluk"
"VAK","61.5408","-165.6009","Chevak"
"KLG","61.5363","-160.3413","Kalskag"
"HPB","61.5239","-166.1466","Hooper Bay"
"POR","61.4614","21.7978","Pori"
"TMP","61.4153","23.5878","Tampere"
"FDE","61.3911","5.7569","Forde                                   "
"YDB","61.3711","-139.0406","BURWASH"
"OVS","61.3667","63.5667","Sovetsky                                "
"SGC","61.3433","73.4033","Surgut"
"SOO","61.2614","17.0983","SODERHAMN"
"EDF","61.2531","-149.7939","ANCHORAGE ELMENDORF AFB"
"KSZ","61.2358","46.6975","  Kotlas"
"YFR","61.1808","-113.6897","FORT RESOLUTION"
"ANC","61.1744","-149.9964","Anchorage International Apt"
"UAK","61.1607","-45.4257","Narsarsuaq                              "
"SOG","61.1561","7.1378","Sogndal"
"QLF","61.1442","25.6931","LAHTI-VESIVEHMAA"
"VDZ","61.1339","-146.2483","Valdez"
"TLT","61.0968","-160.9695","Tuluksak"
"YEK","61.0942","-94.0708","Arviat"
"YQC","61.0464","-69.6178","Quaqtaq                                 "
"LPP","61.0458","28.1486","Lappeenranta"
"HMA","61.0283","69.0867","Khanty-Mansiysk"
"VDB","61.0156","9.2881","Fagernes"
"QFX","60.9908","-45.4219","Igaliku Heliport"
"MXX","60.9586","14.5106","Mora"
"NJC","60.9483","76.4817","Nizhnevartovsk                          "
"WWT","60.9391","-164.6413","Newtok                                  "
"JNS","60.9167","-46.0586","Narsaq"
"KKI","60.9079","-161.4351","Akiachak"
"NUP","60.9058","-162.4391","Nunapitchuk"
"AKI","60.9029","-161.2306","Akiak                                   "
"UTI","60.8964","26.9381","UTTI"
"KUK","60.8733","-162.5243","Kasigluk"
"ATT","60.8667","-162.2731","Atmautluak"
"YHY","60.8397","-115.7764","Hay River"
"AKV","60.8186","-78.1486","Akulivik"
"KWT","60.8","-161.4500","Kwethluk"
"BET","60.7798","-161.8380","Bethel Municipal Apt"
"QJH","60.7792","-47.1525","Qassumiut Heliport"
"LSK","60.7167","114.8167","LENSK"
"JJU","60.7158","-46.0294","Qaqortoq"
"YXY","60.7096","-135.0673","Whitehorse"
"PKA","60.7029","-161.7783","Napaskiak"
"WNA","60.6903","-161.9785","Napakiak"
"QFG","60.6242","-45.9142","Eqalugaarsuit Heliport"
"QUW","60.5969","-45.3839","Ammassivik Heliport"
"GVX","60.5933","16.9514","GAVLE"
"TNK","60.5755","-165.2716","Tununak"
"ENA","60.5731","-151.2450","Kenai"
"OOK","60.5414","-165.0872","Toksook Bay                             "
"QOQ","60.5378","-46.0247","Saarloq Heliport"
"TKU","60.5147","22.2617","Turku"
"CDV","60.4917","-145.4775","Cordova Mudhole Smith Airport           "
"LLU","60.4644","-45.5778","Alluitsup Paa"
"SCS","60.4328","-1.2961","SCATSTA"
"BLE","60.4222","15.5150","Borlange/Falun"
"OLK","60.3883","120.4717","OLEKMINSK"
"MYU","60.3714","-166.2706","Mekoryuk"
"WTL","60.3353","-162.6670","Tuntutuliak"
"HEL","60.3172","24.9633","Helsinki-Vantaa                         "
"BGO","60.2936","5.2181","Bergen                                  "
"HEM","60.2539","25.0442","HELSINKI/MALMI"
"EEK","60.2184","-162.0235","Eek"
"PTA","60.2043","-154.3189","Port Alsworth"
"OSL","60.2028","11.0839","Oslo Gardermoen Airport"
"XEQ","60.1936","-44.8114","Tasiuasaq"
"TYF","60.1547","12.9936","Torsby"
"QUV","60.1519","-44.2881","Aappilattoq Nanortalik Heliport"
"CYF","60.1492","-164.2856","Chefornak"
"HEN","60.1478","24.9242","Helsinki Heliport"
"JNN","60.14","-45.2317","Nanortalik"
"MHQ","60.1219","19.8964","Mariehamn"
"YQH","60.1178","-128.8219","WATSON LAKE"
"URJ","60.1167","64.8333","Uray"
"YPX","60.0506","-77.2869","Puvirnituq                              "
"YKG","60.0272","-69.9992","Kangirsuk                               "
"YSM","60.0222","-111.9603","Fort Smith"
"HFS","60.0211","13.5789","Hagfors"
"NIN","60.0202","-151.5894","  Ninilchik"
"QFN","60.0036","-44.6536","Narsaq Kujalleq Heliport"
"PNI","6.9851","158.2090","Pohnpei                                 "
"DIW","6.9667","81.0000","Dicwella SPB"
"RVE","6.9519","-71.8572","Saravena"
"HDY","6.9328","100.3950","Hat Yai"
"ZAM","6.9224","122.0596","Zamboanga"
"ASK","6.9061","-5.3626","YAMOUSSOUKRO"
"RBX","6.84","29.6500","Rumbek"
"RML","6.8231","79.8850","RATMALANA/COLOMBO"
"OGL","6.8069","-58.1044","Georgetown                              "
"PAN","6.7856","101.1536","PATTANI"
"GLK","6.7808","47.4547","Galcaio                                 "
"HAQ","6.7464","73.1686","Hanimaadhoo Island                      "
"EOR","6.7333","-61.5833","EL DORADO"
"KMS","6.7167","-1.5833","Kumasi"
"LOS","6.5787","3.3227","Lagos"
"BIV","6.5267","21.9900","BRIA"
"NAW","6.5233","101.7447","Narathiwat"
"GEO","6.4989","-58.2544","Georgetown                              "
"BJT","6.4833","79.9833","Bentota River"
"TME","6.4511","-71.7600","Tame"
"COO","6.3564","2.3833","Cotonou                                 "
"LGK","6.3261","99.7247","Langkawi"
"HRI","6.2845","81.1241","Hambantota"
"MLW","6.2843","-10.7668","Monrovia Spriggs Payne Apt"
"CAJ","6.25","-62.8333","Canaima"
"ROB","6.2404","-10.3599","Monrovia Roberts International Apt"
"BNI","6.2331","5.5992","Benin City                              "
"EOH","6.2203","-75.5906","Medellin Enrique Olaya Herrerra Apt"
"BSC","6.2031","-77.3947","Bahia Solano                            "
"ABB","6.1978","6.7285","Asaba                                   "
